nodes,case,algo,terminals,non_terminals,K,ave_obj,ave_time,sol_status,obj,time
125,2,Greedy ES - ls,50,75,22,873.6,1.01480,[],"[1082, 507, 910, 832, 1037]","[1.0108557029998337, 1.0181628280006407, 1.017295499001193, 1.0085128659993643, 1.0191843939974206]"
125,2,Greedy MIS - ls,50,75,22,525.0,79.77511,[],"[488, 507, 632, 484, 514]","[78.943295011999, 81.47601127500093, 79.38500904600005, 79.99375629100177, 79.07747972699872]"
125,2,Exact - path,50,75,22,467.2,597.52680,"['integer optimal solution', 'integer optimal solution', 'time limit exceeded', 'integer optimal solution', 'integer optimal solution']","[405.0, 487.0, 562.0, 454.0, 428.0]","[26.958382461001747, 1071.2495670809985, 1800.0160257040006, 41.434917657999904, 47.9751023989993]"
125,2,Greedy ES - ls,50,75,15,1030.8,0.93155,[],"[1129, 904, 996, 996, 1129]","[0.936438436001481, 0.9219455970014678, 0.9431370139973296, 0.9283872750020237, 0.9278251049981918]"
125,2,Greedy MIS - ls,50,75,15,671.6,69.32831,[],"[582, 686, 792, 684, 614]","[68.2410636099994, 70.46795439099878, 68.85691017000136, 69.8119295180004, 69.26368910600286]"
125,2,Exact - path,50,75,15,664.6,73.06645,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[582.0, 686.0, 757.0, 684.0, 614.0]","[28.81831430600141, 131.1756348380004, 74.75414895999711, 108.6269932920004, 21.957143269999506]"
125,2,Greedy ES - ls,56,69,21,1081.8,0.85117,[],"[1329, 797, 961, 995, 1327]","[0.8698531139998522, 0.8624400689986942, 0.8779065719973005, 0.8146708349995606, 0.8309582970032352]"
125,2,Greedy MIS - ls,56,69,21,638.2,68.46164,[],"[691, 663, 560, 585, 692]","[67.99222525000005, 67.9195735760004, 68.91411029299707, 68.45785930100101, 69.02442031499959]"
125,2,Exact - path,56,69,21,581.6,571.75760,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'time limit exceeded']","[630.0, 566.0, 560.0, 538.0, 614.0]","[498.7772180730026, 102.42007348499828, 146.73893360299917, 310.8326368250018, 1800.0191531020027]"
125,2,Greedy ES - ls,56,69,14,1266.4,0.78773,[],"[1329, 1432, 961, 1178, 1432]","[0.793111022998346, 0.7863641759977327, 0.7957029319986759, 0.7798585100026685, 0.783607009001571]"
125,2,Greedy MIS - ls,56,69,14,915.4,58.92555,[],"[965, 967, 844, 840, 961]","[58.676599680002255, 58.50859732000026, 58.46254673800286, 59.50602996899761, 59.47395481000058]"
125,2,Exact - path,56,69,14,899.0,369.26356,"['integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution', 'integer optimal solution']","[965.0, 921.0, 844.0, 840.0, 925.0]","[161.7839514749976, 149.8850902419981, 63.051799207998556, 71.1719404309988, 1400.4250137589988]"
